fecha,producto,categoria,cantidad,precio_unitario,total,mes,mes_nombre,dia_semana,trimestre
2023-01-01,Monitor,Computadoras,5,234.17,1170.86,1,January,Sunday,1
2023-01-01,Disco Duro,Almacenamiento,5,122.32,611.62,1,January,Sunday,1
2023-01-01,Router,Redes,3,50.6,151.8,1,January,Sunday,1
2023-01-01,Disco Duro,Almacenamiento,5,122.43,612.13,1,January,Sunday,1
2023-01-01,Disco Duro,Almacenamiento,3,108.49,325.48,1,January,Sunday,1
2023-01-01,Mouse,Accesorios,4,16.32,65.26,1,January,Sunday,1
2023-01-01,Mouse,Accesorios,4,14.05,56.2,1,January,Sunday,1
2023-01-01,Router,Redes,5,54.25,271.26,1,January,Sunday,1
2023-01-01,Laptop,Computadoras,3,817.9,2453.69,1,January,Sunday,1
2023-01-01,Router,Redes,4,60.21,240.85,1,January,Sunday,1
2023-01-01,Teclado,Accesorios,4,45.13,180.51,1,January,Sunday,1
2023-01-02,Memoria RAM,Componentes,3,96.48,289.44,1,January,Monday,1
2023-01-02,USB,Accesorios,5,9.9,49.5,1,January,Monday,1
2023-01-02,Mouse,Accesorios,4,16.33,65.31,1,January,Monday,1
2023-01-02,Mouse,Accesorios,2,14.41,28.83,1,January,Monday,1
2023-01-02,Auriculares,Accesorios,2,62.21,124.42,1,January,Monday,1
2023-01-02,USB,Accesorios,4,9.99,39.96,1,January,Monday,1
2023-01-02,Teclado,Accesorios,1,42.83,42.83,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,4,115.48,461.92,1,January,Monday,1
2023-01-02,Webcam,Accesorios,2,81.08,162.17,1,January,Monday,1
2023-01-02,Mouse,Accesorios,2,14.85,29.7,1,January,Monday,1
2023-01-02,Router,Redes,4,56.08,224.31,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,4,109.09,436.34,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,5,117.33,586.64,1,January,Monday,1
2023-01-02,Mouse,Accesorios,5,15.26,76.3,1,January,Monday,1
2023-01-02,Memoria RAM,Componentes,4,91.93,367.71,1,January,Monday,1
2023-01-02,Memoria RAM,Componentes,5,95.44,477.2,1,January,Monday,1
2023-01-02,Laptop,Computadoras,1,877.9,877.9,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,1,112.77,112.77,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,3,112.77,338.32,1,January,Monday,1
2023-01-02,Disco Duro,Almacenamiento,3,126.96,380.89,1,January,Monday,1
2023-01-03,Auriculares,Accesorios,2,58.3,116.6,1,January,Tuesday,1
2023-01-03,Memoria RAM,Componentes,4,96.54,386.14,1,January,Tuesday,1
2023-01-03,Disco Duro,Almacenamiento,4,115.94,463.77,1,January,Tuesday,1
2023-01-03,USB,Accesorios,5,10.46,52.3,1,January,Tuesday,1
2023-01-03,Disco Duro,Almacenamiento,3,121.47,364.41,1,January,Tuesday,1
2023-01-03,Teclado,Accesorios,5,49.25,246.23,1,January,Tuesday,1
2023-01-03,Teclado,Accesorios,1,47.0,47.0,1,January,Tuesday,1
2023-01-03,USB,Accesorios,3,10.05,30.14,1,January,Tuesday,1
2023-01-03,Router,Redes,2,54.33,108.67,1,January,Tuesday,1
2023-01-03,Teclado,Accesorios,1,43.33,43.33,1,January,Tuesday,1
2023-01-03,Monitor,Computadoras,5,237.46,1187.32,1,January,Tuesday,1
2023-01-03,Monitor,Computadoras,5,228.85,1144.24,1,January,Tuesday,1
2023-01-03,Teclado,Accesorios,4,48.87,195.47,1,January,Tuesday,1
2023-01-03,Memoria RAM,Componentes,5,96.69,483.43,1,January,Tuesday,1
2023-01-03,Monitor,Computadoras,3,241.22,723.65,1,January,Tuesday,1
2023-01-04,Memoria RAM,Componentes,1,85.9,85.9,1,January,Wednesday,1
2023-01-04,Memoria RAM,Componentes,4,87.35,349.38,1,January,Wednesday,1
2023-01-04,Teclado,Accesorios,3,44.26,132.77,1,January,Wednesday,1
2023-01-04,Auriculares,Accesorios,1,55.44,55.44,1,January,Wednesday,1
2023-01-04,Disco Duro,Almacenamiento,3,115.76,347.27,1,January,Wednesday,1
2023-01-04,Disco Duro,Almacenamiento,1,117.69,117.69,1,January,Wednesday,1
2023-01-04,Laptop,Computadoras,2,873.99,1747.98,1,January,Wednesday,1
2023-01-04,USB,Accesorios,2,10.42,20.85,1,January,Wednesday,1
2023-01-04,Auriculares,Accesorios,1,65.97,65.97,1,January,Wednesday,1
2023-01-04,Laptop,Computadoras,2,800.43,1600.86,1,January,Wednesday,1
2023-01-04,Webcam,Accesorios,5,77.52,387.61,1,January,Wednesday,1
2023-01-05,Teclado,Accesorios,2,45.28,90.56,1,January,Thursday,1
2023-01-05,Router,Redes,4,50.39,201.56,1,January,Thursday,1
2023-01-05,Disco Duro,Almacenamiento,3,113.81,341.44,1,January,Thursday,1
2023-01-05,Webcam,Accesorios,5,82.12,410.58,1,January,Thursday,1
2023-01-05,Webcam,Accesorios,3,85.06,255.19,1,January,Thursday,1
2023-01-06,Laptop,Computadoras,1,771.32,771.32,1,January,Friday,1
2023-01-06,Webcam,Accesorios,5,85.73,428.67,1,January,Friday,1
2023-01-06,Monitor,Computadoras,3,260.56,781.67,1,January,Friday,1
2023-01-06,Teclado,Accesorios,4,46.31,185.23,1,January,Friday,1
2023-01-06,Monitor,Computadoras,1,259.55,259.55,1,January,Friday,1
2023-01-06,USB,Accesorios,2,10.68,21.35,1,January,Friday,1
2023-01-06,Memoria RAM,Componentes,1,84.76,84.76,1,January,Friday,1
2023-01-06,Router,Redes,3,52.01,156.04,1,January,Friday,1
2023-01-06,Router,Redes,1,55.18,55.18,1,January,Friday,1
2023-01-06,Laptop,Computadoras,2,879.4,1758.8,1,January,Friday,1
2023-01-06,Auriculares,Accesorios,5,64.59,322.96,1,January,Friday,1
2023-01-06,USB,Accesorios,1,9.56,9.56,1,January,Friday,1
2023-01-06,Teclado,Accesorios,3,48.21,144.62,1,January,Friday,1
2023-01-06,Webcam,Accesorios,1,82.27,82.27,1,January,Friday,1
2023-01-06,Laptop,Computadoras,4,863.77,3455.07,1,January,Friday,1
2023-01-06,Monitor,Computadoras,3,243.61,730.84,1,January,Friday,1
2023-01-06,Memoria RAM,Componentes,3,98.53,295.58,1,January,Friday,1
2023-01-06,Mouse,Accesorios,2,14.96,29.91,1,January,Friday,1
2023-01-06,Teclado,Accesorios,5,42.52,212.59,1,January,Friday,1
2023-01-06,Laptop,Computadoras,4,757.96,3031.84,1,January,Friday,1
2023-01-07,Monitor,Computadoras,3,257.88,773.64,1,January,Saturday,1
2023-01-07,Laptop,Computadoras,4,801.41,3205.64,1,January,Saturday,1
2023-01-07,Webcam,Accesorios,5,79.79,398.94,1,January,Saturday,1
2023-01-07,Disco Duro,Almacenamiento,3,118.43,355.28,1,January,Saturday,1
2023-01-07,Auriculares,Accesorios,1,60.92,60.92,1,January,Saturday,1
2023-01-07,Laptop,Computadoras,5,756.83,3784.15,1,January,Saturday,1
2023-01-07,Teclado,Accesorios,4,40.72,162.88,1,January,Saturday,1
2023-01-07,Laptop,Computadoras,1,879.13,879.13,1,January,Saturday,1
2023-01-07,Auriculares,Accesorios,3,62.97,188.92,1,January,Saturday,1
2023-01-08,Disco Duro,Almacenamiento,5,118.28,591.38,1,January,Sunday,1
2023-01-08,Auriculares,Accesorios,3,65.76,197.29,1,January,Sunday,1
2023-01-08,Monitor,Computadoras,5,244.25,1221.27,1,January,Sunday,1
2023-01-08,USB,Accesorios,1,9.63,9.63,1,January,Sunday,1
2023-01-08,Mouse,Accesorios,1,14.68,14.68,1,January,Sunday,1
2023-01-08,Webcam,Accesorios,2,86.88,173.76,1,January,Sunday,1
2023-01-08,Disco Duro,Almacenamiento,2,122.76,245.52,1,January,Sunday,1
2023-01-08,Webcam,Accesorios,2,76.07,152.13,1,January,Sunday,1
2023-01-08,Router,Redes,2,53.05,106.1,1,January,Sunday,1
2023-01-09,Laptop,Computadoras,1,832.4,832.4,1,January,Monday,1
2023-01-09,USB,Accesorios,5,9.59,47.97,1,January,Monday,1
2023-01-09,Router,Redes,3,52.32,156.95,1,January,Monday,1
2023-01-09,Disco Duro,Almacenamiento,5,109.96,549.79,1,January,Monday,1
2023-01-09,USB,Accesorios,1,10.26,10.26,1,January,Monday,1
2023-01-09,Monitor,Computadoras,1,228.55,228.55,1,January,Monday,1
2023-01-09,Teclado,Accesorios,4,45.71,182.84,1,January,Monday,1
2023-01-09,USB,Accesorios,3,9.93,29.79,1,January,Monday,1
2023-01-09,Webcam,Accesorios,2,85.77,171.53,1,January,Monday,1
2023-01-09,Laptop,Computadoras,4,726.21,2904.85,1,January,Monday,1
2023-01-09,Webcam,Accesorios,3,74.03,222.1,1,January,Monday,1
2023-01-09,Laptop,Computadoras,5,763.45,3817.23,1,January,Monday,1
